RMSE,LL,N,AUC
0.564809719343247,,34293,0.546653786281203
0.521157324625443,1.41404710624617,34294,0.545017735248383
0.503292691291258,0.940195917134622,34295,0.532962005419787
0.486554327575353,0.758600748970084,34294,0.623816111481945
0.499480887102756,1.22489596754076,34296,0.634161139701786
0.488697330398867,0.988849420818331,34300,0.649591111986594
0.482688325306666,0.92038215637453,34300,0.669385781817329
0.501418614746618,1.01966718541074,34299,0.612607697641285
0.478384650955942,0.820752208732852,34299,0.642571932311442
0.456962389451853,0.682958241848119,34296,0.698075265288212
0.482435158468099,0.795719783702451,34302,0.662588317500601
0.456235559389239,0.72315681577724,34303,0.695077080541395
0.456897574189359,0.640364707072386,34305,0.662590567916757
0.461399803351984,0.732168326374078,34308,0.69669419000345
0.474753827175128,,34310,0.701116993904541
0.453386117246934,0.681113343971188,34308,0.699549012694027
0.471643851679977,0.751975117733925,34312,0.70506918094212
0.467011638468434,0.841108910923875,34311,0.699541918679991
0.465845671852029,0.730251699087089,34315,0.690238513149487
0.465319846869496,0.861251766632929,34310,0.712641507101419
0.448241769923884,0.611549846928311,34309,0.684165117490785
0.448900614726952,0.620780612179139,34312,0.691299896602075
0.466466267085313,0.711419559877431,34314,0.710065901955024
0.468285551052348,0.732066359454499,34313,0.711934565573777
0.466037509901781,0.670245874358716,34314,0.716626489593527
0.439098518160656,0.623883635273897,34316,0.710422158825658
0.45057580730515,0.642438276484799,34314,0.706750928355275
0.467596594657964,0.833917109894267,34316,0.71196479088753
0.451109694419677,0.687549069110986,34319,0.716544256715694
0.439361737964678,0.572397807697843,34317,0.663011998225418
